restaurant_external_id,tag_type,tag_value,confidence_score
kakao_824736542,food,꽁치김치찌개,0.95
kakao_824736542,food,생맥주,0.95
kakao_824736542,food,하이볼,0.95
kakao_824736542,food,골뱅이무침,0.95
kakao_824736542,food,명란계란말이,0.95
kakao_824736542,food,김치볶음밥,0.95
kakao_824736542,food,두루치기,0.95
kakao_824736542,food,나쵸리브레,0.95
kakao_824736542,price,합리적인가격,0.88
kakao_824736542,purpose,혼술,0.9
kakao_306868449,food,모듬전,0.95
kakao_306868449,food,육전,0.95
kakao_306868449,food,김치찌개,0.95
kakao_306868449,food,제육덮밥,0.95
kakao_306868449,food,한우스지,0.95
kakao_306868449,food,스지곰탕,0.95
kakao_306868449,food,감자전,0.95
kakao_306868449,food,김치전,0.95
kakao_306868449,mood,아늑한분위기,0.9
kakao_306868449,price,가성비좋음,0.85
kakao_1279255339,food,짜글이,0.95
kakao_1279255339,food,두루치기,0.95
kakao_1279255339,food,제육파김치짜글이,0.95
kakao_1279255339,food,김치부대찌개짜글이,0.95
kakao_1279255339,food,계란찜,0.95
kakao_1279255339,food,쭈꾸미,0.95
kakao_1279255339,food,돼지김치짜글이,0.95
kakao_1279255339,price,합리적인가격대,0.85
kakao_1279255339,purpose,혼밥,0.9
kakao_1279255339,parking,공영주차장1시간무료,0.85
kakao_762026624,food,매운어묵김밥,0.95
kakao_762026624,food,묵은지참치김밥,0.95
kakao_762026624,food,치즈김밥,0.95
kakao_762026624,food,멸추김밥,0.95
kakao_762026624,food,멸치김밥,0.95
kakao_762026624,price,가격상승,0.8
kakao_1676208114,food,수구레전골,0.95
kakao_1676208114,food,수구레볶음,0.95
kakao_1676208114,food,수구레모듬구이,0.95
kakao_1676208114,food,볶음밥,0.95
kakao_1676208114,food,곱창구이,0.95
kakao_1676208114,food,수육,0.95
kakao_1676208114,food,볶음국수,0.95
kakao_1676208114,purpose,술자리,0.9
kakao_1676208114,purpose,포장,0.9
kakao_1676208114,parking,공영주차장근처,0.85
kakao_1687006483,food,돼지게티,0.95
kakao_1687006483,food,막창,0.95
kakao_1687006483,food,막창돼지게티,0.95
kakao_1687006483,food,스파게티,0.95
kakao_24583309,food,치즈떡볶이,0.95
kakao_24583309,food,신전떡볶이,0.95
kakao_24583309,food,로제떡볶이,0.95
kakao_24583309,food,참치김치컵밥,0.95
kakao_24583309,food,참치마요컵밥,0.95
kakao_24583309,food,오뎅튀김,0.95
kakao_24583309,food,오징어튀김,0.95
kakao_24583309,mood,협소한매장,0.9
kakao_24583309,price,비싼가격,0.85
kakao_24583309,purpose,포장,0.9
kakao_2064565238,food,마라탕,0.95
kakao_2064565238,food,백탕,0.95
kakao_2064565238,food,마파두부,0.95
kakao_2064565238,food,마라샹궈,0.95
kakao_2064565238,food,꿔바로우,0.95
kakao_2064565238,mood,넓은매장,0.9
kakao_2064565238,mood,청결한분위기,0.9
kakao_2064565238,mood,복작복작한분위기,0.9
kakao_2064565238,price,무료밥제공,0.8
kakao_2064565238,parking,공용주차장이용가능,0.85
kakao_1665003130,food,족발한상,0.95
kakao_1665003130,food,한상족발,0.95
kakao_1665003130,food,완미보쌈한상,0.95
kakao_1665003130,food,반반족발,0.95
kakao_1665003130,food,반반메뉴,0.95
kakao_1665003130,food,막국수,0.95
